name,awards,region,price,category,text
Abner Double Day Double Play Vodka,"","New York, USA",45,Vodka,www. cooperstowndistillery.com
1876 1876 Vodka,"","Texas, USA",14,Vodka,www.sanluispirits.com
45th Parallel Vodka,"","Wisconsin, USA",29,Vodka,www.45thparallelspirits.com
ARKHI Vodka,"",Mongolia,20,Vodka,www.apu.mn
Blue Duck Vodka,"","North Island, New Zealand",43,Vodka,"Importer: Cuestion Spirits Co. - Nashville, TN www.blueduckvodka.co.nz"
Door County Vodka Luminous,"","Door County, Wisconsin, USA",30,Vodka,www.doorcountydistillery. com
Famous Handcrafted Vodka,"","Idaho, USA",30,Vodka,www.famousvodka.com
Grand Teton Potato Vodka,"","Idaho, USA",20,Vodka,www.tetonvodka.com
ID Black Onyx Vodka,"",Egypt,24,Vodka,www.alahrambeverages.com
LEAF Vodka made from Alaskan Glacial Water,"",USA,18,Vodka,www.leafvodka.com
Russian Caliber Vodka,"",Russia,13,Vodka,"Importer: Calibre Brands LLC - New York, NY www. russiancaliber.com"
Snova Vodka,"","Colorado, USA",25,Vodka,www.snovavodka.com
Soft Tail  Vodka,"","Washington, USA",32,Vodka,www.softtailspirits.com
Stalinskaya Vodka,"",Romania,,Vodka,""
44º North Potato Vodka,"","Idaho, USA",25,Vodka,www.44northvodka.com
Ao  Vodka,"","Kyushu, Japan",50,Vodka,Importer: Suntory USA - New York www.ao-vodka.com
Banff Ice Vodka,"","Calgary, Alberta, Canada",25,Vodka,Importer: Beam www.beamglobal.com
Batch 206 Vodka,"","Washington, USA",25,Vodka,"Importer: Saranty Imports - White Plains, NY"
Blue Ice Vodka,"","Rigby, Idaho, USA",20,Vodka,www.blueicevodka.com
Breckenridge Vodka,"",USA,27,Vodka,www.breckenridgedistillery.com
Bully Boy Distillers  Vodka,"","Boston, Massachusetts, USA",28,Vodka,www.bullyboydistillers.com
Chinggis Black Vodka,"","Ulaanbaatar, Mongolia",4,Vodka,"Importer: Amon Enterprises - Denver, CO www.monbev. mn"
Cinco The Five Star Vodka,"","Texas, USA",22,Vodka,www.cincovodka.com
Fashion Luxury Collection Vodka,"",Poland,32,Vodka,"Importer: F Beverages Ltd - Bridgeport, MA www.f-bev. com"
FINLANDIA Vodka,"",Finland,20,Vodka,"Importer: Brown-Forman - Louisville, KY www.finlandia.com / www. brown-forman.com"
Hanson Of Sonoma Organic Original Vodka,"","California, USA",35,Vodka,www.hansonspirits.com
Ice Cap Vodka,"",USA,8,Vodka,www.distillersales.com
King Peter Ultra Premium Vodka,"","Dankowskie, Poland",50,Vodka,"Importer: Park Street Imports, LLC - Miami, FL www.rives.es"
Kruto Flawless Vodka,"",Ukraine,20,Vodka,"Importer: Russian Spirit Inc. - Plano, TX www.krutovodka.com"
Purity Vodka,"",Sweden,40,Vodka,"Importer: Purity Vodka,LLC - Manhasset, NY www.purityvodka.com"
Russian Diamond  Vodka,"",Russia,25,Vodka,"Importer: DUN Beverage Partners, LLC - Sparta, NJ www. russiandiamond.com"
Siderit Vodka Lactée,"","Cantabria, Spain",32,Vodka,"Importer: Park Street Imports, LLC - Miami, FL www. destileriasiderit.com"
Soyombo Vodka,"",Mongolia,30,Vodka,www.apu.mn
Spiritual Vodka,"",New Zealand,200,Vodka,"Importer: Park Street Imports, LLC - Miami, FL www.spiritualspirits. com"
Svayak Platinum Standard Vodka,"",Belarus,6,Vodka,www.mzvv.by
Western Son Texas Vodka,"","Texas, USA",20,Vodka,www.jembevco.com
Wyborowa Vodka,"",Poland,25,Vodka,"Importer: Park Street Imports, LLC - Miami, FL"
American Plains Vodka,"",USA,12,Vodka,www.prestigewinegroup.com
Anecdote Anecdote,"","Charente, France",14,Vodka,"Importer: Park Street Imports, LLC - Miami, FL www. adefussigny.com"
Ballast Point Fugu Vodka,"","San Diego, USA",21,Vodka,Importer: Ballast Pint Brewing & Spirits - USA www. ballastpoint.com
Belvedere Vodka,"","Polmos Żyrardów , Poland",,Vodka,""
Blaum Bros. Vodka,"","Illinois, USA",30,Vodka,www.blaumbros.com
Blue Label Vodka,"",Poland,41,Vodka,Importer: Park Street Imports www.bluelabelvodka.com
Bong Super Premium Vodka,"",Holland,33,Vodka,"Importer: Bong Spirit Imports - Orlando, FL www.bongspirit. com"
Buckeye Vodka,"","Ohio, USA",20,Vodka,www.buckeyevodka.com
Canadian Iceberg  Vodka,"","New Foundland Labrador, Canada",13,Vodka,www.icebergvodka.com
Chinggis White Vodka,"","Ulaanbaatar, Mongolia",4,Vodka,"Importer: Amon Enterprises - Denver, CO www. monbev.mn"
Chinggis Khann Vodka,"",Mongolia,40,Vodka,"Importer: Spirit Import Export Co - Colorado Springs, CO www. apu.mn"
Chuckanut Bay Distillery Potato Vodka,"","Washington, USA",,Vodka,""
Covington Gourmet Vodka,"","North Carolina, USA",30,Vodka,www.covingtonvodka.com
Crystal Head Vodka,"","Newfoundland, Canada",50,Vodka,"Importer: Wilson Daniels - St. Helena, CA www. infiniumspirits.com"
Deep Eddy  Straight Vodka,"","Texas, USA",19,Vodka,www.deepeddyvodka.com
Element 29  Vodka,"","England, UK",30,Vodka,Importer: Park Street Imports LLC -  www.gbdrinks.com
Famous Pure Vodka,"","Auckland, New Zealand",35,Vodka,www.famousvodka.co.nz
Fuzzy's Ultra Premium Vodka,"",USA,25,Vodka,www.fuzzyvodka.com
Gera Vodka,"",Lithuania,13,Vodka,"Importer: Jae Imports - Richmond, TX www.knightinternationalllc.com"
Glass Vodka,"","Washington, USA",40,Vodka,www.glassdistillery.com
Global Organic Vodka,"","Veneto, Italy",27,Vodka,"Importer: Park Street Imports, LLC - Miami, FL www.global- vodka.com"
Grand Traverse Distillery Truth North Rye Vodka,"","Michigan, USA",30,Vodka,www.grandtraversedistillery.com
ID Vodka,"",Egypt,14,Vodka,www.alahrambeverages.com
Idôl Vodka,"",France,22,Vodka,"Importer: Saranty Imports - White Plains, NY"
Ironworks Vodka,"","Nova Scotia, Canada",36,Vodka,"Importer: Park Street Imports, LLC - Miami, FL www. ironworksdistillery.com"
Kalvelage Vodka,"","Santa Catarina, Brazil",20,Vodka,"Importer: Park Street Imports, LLC - Miami, FL www. vodkakalvelage.com.br"
Kruto Original Vodka,"",Ukraine,15,Vodka,"Importer: Russian Spirit Inc. - Plano, TX www.krutovodka.com"
LEAF Vodka made from Rocky Mountain Mineral Water,"",USA,18,Vodka,www.leafvodka.com
Loft & Bear Artisanal Vodka,"","California, USA",40,Vodka,www.ysa.la
